time: 14/01/2020 - 16:53:28
###########   TRAINING STARTED  ############
Iter =    670/ 10000, loss_seg = 0.6685 loss_adv = 0.0047, loss_weight = 0.0192, loss_D_s = 1.2338 loss_D_t = 1.0285
Iter =    680/ 10000, loss_seg = 0.4232 loss_adv = 0.0048, loss_weight = 0.0192, loss_D_s = 0.8386 loss_D_t = 0.6344
Iter =    690/ 10000, loss_seg = 0.4988 loss_adv = 0.0041, loss_weight = 0.0191, loss_D_s = 0.6675 loss_D_t = 0.7058
Iter =    700/ 10000, loss_seg = 0.3410 loss_adv = 0.0077, loss_weight = 0.0191, loss_D_s = 0.9069 loss_D_t = 0.3473
Iter =    710/ 10000, loss_seg = 0.8581 loss_adv = 0.0024, loss_weight = 0.0191, loss_D_s = 0.8513 loss_D_t = 1.0158
Iter =    720/ 10000, loss_seg = 0.1940 loss_adv = 0.0062, loss_weight = 0.0191, loss_D_s = 0.7069 loss_D_t = 0.4200
Iter =    730/ 10000, loss_seg = 0.2007 loss_adv = 0.0050, loss_weight = 0.0191, loss_D_s = 0.5571 loss_D_t = 0.4477
Iter =    740/ 10000, loss_seg = 0.3812 loss_adv = 0.0050, loss_weight = 0.0191, loss_D_s = 1.2544 loss_D_t = 0.8460
Iter =    750/ 10000, loss_seg = 0.2691 loss_adv = 0.0044, loss_weight = 0.0190, loss_D_s = 1.1426 loss_D_t = 0.3858
Iter =    760/ 10000, loss_seg = 0.8298 loss_adv = 0.0034, loss_weight = 0.0190, loss_D_s = 1.1817 loss_D_t = 0.8609
Iter =    770/ 10000, loss_seg = 1.4982 loss_adv = 0.0051, loss_weight = 0.0190, loss_D_s = 1.4519 loss_D_t = 0.4387
Iter =    780/ 10000, loss_seg = 0.2954 loss_adv = 0.0048, loss_weight = 0.0190, loss_D_s = 1.2555 loss_D_t = 0.6289
Iter =    790/ 10000, loss_seg = 0.4247 loss_adv = 0.0045, loss_weight = 0.0190, loss_D_s = 1.0541 loss_D_t = 0.9256
Iter =    800/ 10000, loss_seg = 0.3698 loss_adv = 0.0043, loss_weight = 0.0190, loss_D_s = 0.9120 loss_D_t = 0.5309
Iter =    810/ 10000, loss_seg = 0.8080 loss_adv = 0.0059, loss_weight = 0.0189, loss_D_s = 0.7727 loss_D_t = 0.4211
Iter =    820/ 10000, loss_seg = 0.5136 loss_adv = 0.0029, loss_weight = 0.0189, loss_D_s = 0.7272 loss_D_t = 0.8155
Iter =    830/ 10000, loss_seg = 0.8227 loss_adv = 0.0096, loss_weight = 0.0189, loss_D_s = 0.8505 loss_D_t = 0.2674
Iter =    840/ 10000, loss_seg = 0.2836 loss_adv = 0.0021, loss_weight = 0.0189, loss_D_s = 0.6427 loss_D_t = 1.0830
Iter =    850/ 10000, loss_seg = 0.3404 loss_adv = 0.0044, loss_weight = 0.0189, loss_D_s = 0.8768 loss_D_t = 0.2963
Iter =    860/ 10000, loss_seg = 0.6884 loss_adv = 0.0058, loss_weight = 0.0189, loss_D_s = 0.7627 loss_D_t = 0.6275
Iter =    870/ 10000, loss_seg = 0.3702 loss_adv = 0.0062, loss_weight = 0.0188, loss_D_s = 1.3589 loss_D_t = 0.2072
Iter =    880/ 10000, loss_seg = 0.2178 loss_adv = 0.0012, loss_weight = 0.0188, loss_D_s = 0.3884 loss_D_t = 0.9295
Iter =    890/ 10000, loss_seg = 0.9939 loss_adv = 0.0032, loss_weight = 0.0188, loss_D_s = 1.2007 loss_D_t = 0.6317
Iter =    900/ 10000, loss_seg = 0.3387 loss_adv = 0.0028, loss_weight = 0.0188, loss_D_s = 0.8487 loss_D_t = 0.4225
Iter =    910/ 10000, loss_seg = 0.2552 loss_adv = 0.0025, loss_weight = 0.0188, loss_D_s = 0.7498 loss_D_t = 1.0770
Iter =    920/ 10000, loss_seg = 0.8966 loss_adv = 0.0033, loss_weight = 0.0188, loss_D_s = 0.9872 loss_D_t = 0.5270
Iter =    930/ 10000, loss_seg = 0.3320 loss_adv = 0.0035, loss_weight = 0.0187, loss_D_s = 0.6664 loss_D_t = 0.5521
Iter =    940/ 10000, loss_seg = 0.2185 loss_adv = 0.0028, loss_weight = 0.0187, loss_D_s = 0.4744 loss_D_t = 0.6406
Iter =    950/ 10000, loss_seg = 0.2172 loss_adv = 0.0033, loss_weight = 0.0187, loss_D_s = 0.5446 loss_D_t = 0.4893
Iter =    960/ 10000, loss_seg = 0.2313 loss_adv = 0.0028, loss_weight = 0.0187, loss_D_s = 0.4460 loss_D_t = 0.4482
Iter =    970/ 10000, loss_seg = 0.5590 loss_adv = 0.0026, loss_weight = 0.0187, loss_D_s = 0.7556 loss_D_t = 0.5501
Iter =    980/ 10000, loss_seg = 0.4298 loss_adv = 0.0048, loss_weight = 0.0187, loss_D_s = 1.2850 loss_D_t = 0.4410
Iter =    990/ 10000, loss_seg = 0.2143 loss_adv = 0.0062, loss_weight = 0.0186, loss_D_s = 0.5550 loss_D_t = 1.4306
Iter =   1000/ 10000, loss_seg = 0.4387 loss_adv = 0.0033, loss_weight = 0.0186, loss_D_s = 1.0751 loss_D_t = 0.7963
Iter =   1010/ 10000, loss_seg = 0.3022 loss_adv = 0.0016, loss_weight = 0.0186, loss_D_s = 0.5287 loss_D_t = 0.6524
Iter =   1020/ 10000, loss_seg = 1.8400 loss_adv = 0.0021, loss_weight = 0.0186, loss_D_s = 0.9356 loss_D_t = 0.4425
Iter =   1030/ 10000, loss_seg = 0.5798 loss_adv = 0.0029, loss_weight = 0.0186, loss_D_s = 1.0123 loss_D_t = 0.8349
Iter =   1040/ 10000, loss_seg = 0.5986 loss_adv = 0.0024, loss_weight = 0.0186, loss_D_s = 1.0854 loss_D_t = 0.6564
Iter =   1050/ 10000, loss_seg = 0.2632 loss_adv = 0.0039, loss_weight = 0.0185, loss_D_s = 0.6455 loss_D_t = 0.6651
Iter =   1060/ 10000, loss_seg = 0.2380 loss_adv = 0.0039, loss_weight = 0.0185, loss_D_s = 0.8306 loss_D_t = 0.4525
Iter =   1070/ 10000, loss_seg = 0.5401 loss_adv = 0.0022, loss_weight = 0.0185, loss_D_s = 0.5006 loss_D_t = 0.6318
Iter =   1080/ 10000, loss_seg = 0.9697 loss_adv = 0.0031, loss_weight = 0.0185, loss_D_s = 1.1492 loss_D_t = 0.6498
Iter =   1090/ 10000, loss_seg = 0.5226 loss_adv = 0.0034, loss_weight = 0.0185, loss_D_s = 0.4203 loss_D_t = 0.6749
Iter =   1100/ 10000, loss_seg = 0.7774 loss_adv = 0.0065, loss_weight = 0.0185, loss_D_s = 1.0162 loss_D_t = 0.3581
Iter =   1110/ 10000, loss_seg = 0.2000 loss_adv = 0.0047, loss_weight = 0.0184, loss_D_s = 0.7567 loss_D_t = 0.2736
Iter =   1120/ 10000, loss_seg = 0.2846 loss_adv = 0.0033, loss_weight = 0.0184, loss_D_s = 0.6671 loss_D_t = 0.6594
Iter =   1130/ 10000, loss_seg = 0.3585 loss_adv = 0.0020, loss_weight = 0.0184, loss_D_s = 0.6394 loss_D_t = 0.4468
Iter =   1140/ 10000, loss_seg = 0.4899 loss_adv = 0.0033, loss_weight = 0.0184, loss_D_s = 0.5832 loss_D_t = 0.4079
Iter =   1150/ 10000, loss_seg = 0.3578 loss_adv = 0.0034, loss_weight = 0.0184, loss_D_s = 0.9959 loss_D_t = 0.3812
Iter =   1160/ 10000, loss_seg = 0.3528 loss_adv = 0.0014, loss_weight = 0.0183, loss_D_s = 0.6913 loss_D_t = 0.9700
Iter =   1170/ 10000, loss_seg = 1.8980 loss_adv = 0.0030, loss_weight = 0.0183, loss_D_s = 0.3381 loss_D_t = 0.6207
Iter =   1180/ 10000, loss_seg = 0.4573 loss_adv = 0.0031, loss_weight = 0.0183, loss_D_s = 0.5715 loss_D_t = 0.6630
Iter =   1190/ 10000, loss_seg = 0.5289 loss_adv = 0.0031, loss_weight = 0.0183, loss_D_s = 1.0828 loss_D_t = 0.4188
Iter =   1200/ 10000, loss_seg = 0.2587 loss_adv = 0.0038, loss_weight = 0.0183, loss_D_s = 0.8707 loss_D_t = 0.6228
Iter =   1210/ 10000, loss_seg = 0.3947 loss_adv = 0.0027, loss_weight = 0.0183, loss_D_s = 0.9719 loss_D_t = 0.3802
Iter =   1220/ 10000, loss_seg = 0.5975 loss_adv = 0.0029, loss_weight = 0.0182, loss_D_s = 0.6732 loss_D_t = 0.3865
Iter =   1230/ 10000, loss_seg = 0.4385 loss_adv = 0.0028, loss_weight = 0.0182, loss_D_s = 0.3511 loss_D_t = 0.7804
Iter =   1240/ 10000, loss_seg = 0.2510 loss_adv = 0.0051, loss_weight = 0.0182, loss_D_s = 0.3872 loss_D_t = 0.7810
Iter =   1250/ 10000, loss_seg = 0.2400 loss_adv = 0.0035, loss_weight = 0.0182, loss_D_s = 0.8231 loss_D_t = 0.4644
Iter =   1260/ 10000, loss_seg = 0.3942 loss_adv = 0.0015, loss_weight = 0.0182, loss_D_s = 0.5460 loss_D_t = 1.1411
Iter =   1270/ 10000, loss_seg = 0.2729 loss_adv = 0.0031, loss_weight = 0.0181, loss_D_s = 0.4578 loss_D_t = 0.8439
Iter =   1280/ 10000, loss_seg = 0.3217 loss_adv = 0.0025, loss_weight = 0.0181, loss_D_s = 0.8384 loss_D_t = 0.4802
Iter =   1290/ 10000, loss_seg = 0.2144 loss_adv = 0.0034, loss_weight = 0.0181, loss_D_s = 0.4735 loss_D_t = 0.5652
Iter =   1300/ 10000, loss_seg = 0.2116 loss_adv = 0.0022, loss_weight = 0.0181, loss_D_s = 0.6020 loss_D_t = 0.4276
Iter =   1310/ 10000, loss_seg = 0.1448 loss_adv = 0.0043, loss_weight = 0.0181, loss_D_s = 0.4363 loss_D_t = 0.3073
Iter =   1320/ 10000, loss_seg = 0.1934 loss_adv = 0.0025, loss_weight = 0.0181, loss_D_s = 0.4448 loss_D_t = 0.7671
Iter =   1330/ 10000, loss_seg = 0.3318 loss_adv = 0.0059, loss_weight = 0.0180, loss_D_s = 0.9086 loss_D_t = 0.3579
