time: 15/01/2020 - 10:19:33

Iter =  10930/ 20000, loss_seg = 0.1681 loss_adv = 0.0013, loss_weight = 0.0094, loss_D_s = 0.4063 loss_D_t = 0.3426
Iter =  10940/ 20000, loss_seg = 0.2538 loss_adv = 0.0014, loss_weight = 0.0094, loss_D_s = 0.4919 loss_D_t = 0.4138
Iter =  10950/ 20000, loss_seg = 0.1432 loss_adv = 0.0012, loss_weight = 0.0094, loss_D_s = 0.4996 loss_D_t = 0.4450
Iter =  10960/ 20000, loss_seg = 0.0481 loss_adv = 0.0009, loss_weight = 0.0094, loss_D_s = 0.8880 loss_D_t = 0.6763
Iter =  10970/ 20000, loss_seg = 0.2000 loss_adv = 0.0013, loss_weight = 0.0094, loss_D_s = 0.5424 loss_D_t = 0.3429
Iter =  10980/ 20000, loss_seg = 0.2657 loss_adv = 0.0014, loss_weight = 0.0094, loss_D_s = 0.4503 loss_D_t = 0.3267
Iter =  10990/ 20000, loss_seg = 0.1711 loss_adv = 0.0013, loss_weight = 0.0094, loss_D_s = 0.4907 loss_D_t = 0.4264
Iter =  11000/ 20000, loss_seg = 0.1885 loss_adv = 0.0011, loss_weight = 0.0094, loss_D_s = 0.2676 loss_D_t = 0.5148
Iter =  11010/ 20000, loss_seg = 0.3939 loss_adv = 0.0010, loss_weight = 0.0094, loss_D_s = 0.8897 loss_D_t = 0.4360
Iter =  11020/ 20000, loss_seg = 0.0930 loss_adv = 0.0008, loss_weight = 0.0094, loss_D_s = 0.9454 loss_D_t = 0.3999
Iter =  11030/ 20000, loss_seg = 0.1671 loss_adv = 0.0007, loss_weight = 0.0093, loss_D_s = 0.2246 loss_D_t = 0.3791
Iter =  11040/ 20000, loss_seg = 0.0839 loss_adv = 0.0008, loss_weight = 0.0093, loss_D_s = 0.3373 loss_D_t = 0.4975
Iter =  11050/ 20000, loss_seg = 0.2479 loss_adv = 0.0009, loss_weight = 0.0093, loss_D_s = 0.2873 loss_D_t = 0.6504
Iter =  11060/ 20000, loss_seg = 0.1941 loss_adv = 0.0006, loss_weight = 0.0093, loss_D_s = 0.4673 loss_D_t = 0.3037
Iter =  11070/ 20000, loss_seg = 0.1680 loss_adv = 0.0009, loss_weight = 0.0093, loss_D_s = 0.3767 loss_D_t = 0.4447
Iter =  11080/ 20000, loss_seg = 0.1720 loss_adv = 0.0038, loss_weight = 0.0093, loss_D_s = 0.3230 loss_D_t = 0.3685
Iter =  11090/ 20000, loss_seg = 0.2216 loss_adv = 0.0011, loss_weight = 0.0093, loss_D_s = 0.6380 loss_D_t = 0.3582
Iter =  11100/ 20000, loss_seg = 0.1214 loss_adv = 0.0012, loss_weight = 0.0093, loss_D_s = 0.2474 loss_D_t = 0.3098
Iter =  11110/ 20000, loss_seg = 0.1592 loss_adv = 0.0014, loss_weight = 0.0093, loss_D_s = 0.4663 loss_D_t = 0.2959
Iter =  11120/ 20000, loss_seg = 0.1263 loss_adv = 0.0009, loss_weight = 0.0093, loss_D_s = 0.5354 loss_D_t = 0.3703
Iter =  11130/ 20000, loss_seg = 0.0891 loss_adv = 0.0010, loss_weight = 0.0092, loss_D_s = 0.4269 loss_D_t = 0.5105
Iter =  11140/ 20000, loss_seg = 0.1535 loss_adv = 0.0014, loss_weight = 0.0092, loss_D_s = 0.6223 loss_D_t = 0.4465
Iter =  11150/ 20000, loss_seg = 0.1409 loss_adv = 0.0006, loss_weight = 0.0092, loss_D_s = 0.3104 loss_D_t = 0.4296
Iter =  11160/ 20000, loss_seg = 0.1426 loss_adv = 0.0015, loss_weight = 0.0092, loss_D_s = 0.5112 loss_D_t = 0.2106
Iter =  11170/ 20000, loss_seg = 0.2155 loss_adv = 0.0009, loss_weight = 0.0092, loss_D_s = 0.1716 loss_D_t = 0.5322
Iter =  11180/ 20000, loss_seg = 0.3442 loss_adv = 0.0008, loss_weight = 0.0092, loss_D_s = 0.7903 loss_D_t = 0.4428
Iter =  11190/ 20000, loss_seg = 0.1427 loss_adv = 0.0006, loss_weight = 0.0092, loss_D_s = 0.1836 loss_D_t = 0.4918
Iter =  11200/ 20000, loss_seg = 0.1937 loss_adv = 0.0013, loss_weight = 0.0092, loss_D_s = 0.3618 loss_D_t = 0.3844
Iter =  11210/ 20000, loss_seg = 0.1327 loss_adv = 0.0015, loss_weight = 0.0092, loss_D_s = 0.3308 loss_D_t = 0.3836
Iter =  11220/ 20000, loss_seg = 0.1573 loss_adv = 0.0010, loss_weight = 0.0091, loss_D_s = 0.4692 loss_D_t = 0.4131
Iter =  11230/ 20000, loss_seg = 0.1571 loss_adv = 0.0011, loss_weight = 0.0091, loss_D_s = 0.3027 loss_D_t = 0.3635
Iter =  11240/ 20000, loss_seg = 0.2122 loss_adv = 0.0014, loss_weight = 0.0091, loss_D_s = 0.2176 loss_D_t = 0.3386
Iter =  11250/ 20000, loss_seg = 0.1113 loss_adv = 0.0006, loss_weight = 0.0091, loss_D_s = 0.3012 loss_D_t = 0.4606
Iter =  11260/ 20000, loss_seg = 0.1489 loss_adv = 0.0028, loss_weight = 0.0091, loss_D_s = 0.1679 loss_D_t = 0.4943
Iter =  11270/ 20000, loss_seg = 0.0727 loss_adv = 0.0009, loss_weight = 0.0091, loss_D_s = 0.2084 loss_D_t = 0.7175
Iter =  11280/ 20000, loss_seg = 0.1785 loss_adv = 0.0018, loss_weight = 0.0091, loss_D_s = 0.3912 loss_D_t = 0.4038
Iter =  11290/ 20000, loss_seg = 0.1889 loss_adv = 0.0006, loss_weight = 0.0091, loss_D_s = 0.2554 loss_D_t = 0.5100
Iter =  11300/ 20000, loss_seg = 0.3064 loss_adv = 0.0007, loss_weight = 0.0091, loss_D_s = 0.5163 loss_D_t = 0.4157
Iter =  11310/ 20000, loss_seg = 0.1238 loss_adv = 0.0015, loss_weight = 0.0091, loss_D_s = 0.3146 loss_D_t = 0.3633
Iter =  11320/ 20000, loss_seg = 0.2326 loss_adv = 0.0018, loss_weight = 0.0090, loss_D_s = 0.4716 loss_D_t = 0.3649
Iter =  11330/ 20000, loss_seg = 0.2649 loss_adv = 0.0020, loss_weight = 0.0090, loss_D_s = 0.2987 loss_D_t = 0.3726
Iter =  11340/ 20000, loss_seg = 0.3540 loss_adv = 0.0012, loss_weight = 0.0090, loss_D_s = 0.3019 loss_D_t = 0.4773
Iter =  11350/ 20000, loss_seg = 0.0950 loss_adv = 0.0029, loss_weight = 0.0090, loss_D_s = 0.2416 loss_D_t = 0.7983
Iter =  11360/ 20000, loss_seg = 0.1567 loss_adv = 0.0024, loss_weight = 0.0090, loss_D_s = 0.4581 loss_D_t = 0.2617
Iter =  11370/ 20000, loss_seg = 0.2892 loss_adv = 0.0015, loss_weight = 0.0090, loss_D_s = 0.5171 loss_D_t = 0.3940
Iter =  11380/ 20000, loss_seg = 0.1838 loss_adv = 0.0011, loss_weight = 0.0090, loss_D_s = 0.5663 loss_D_t = 0.3188
Iter =  11390/ 20000, loss_seg = 0.2120 loss_adv = 0.0006, loss_weight = 0.0090, loss_D_s = 0.6298 loss_D_t = 0.5769
Iter =  11400/ 20000, loss_seg = 0.1819 loss_adv = 0.0007, loss_weight = 0.0090, loss_D_s = 0.3733 loss_D_t = 0.4076
Iter =  11410/ 20000, loss_seg = 0.0855 loss_adv = 0.0008, loss_weight = 0.0090, loss_D_s = 0.4723 loss_D_t = 0.2940
Iter =  11420/ 20000, loss_seg = 0.2500 loss_adv = 0.0009, loss_weight = 0.0089, loss_D_s = 0.4393 loss_D_t = 0.3299
Iter =  11430/ 20000, loss_seg = 0.2553 loss_adv = 0.0012, loss_weight = 0.0089, loss_D_s = 0.4907 loss_D_t = 0.3959
Iter =  11440/ 20000, loss_seg = 0.0936 loss_adv = 0.0007, loss_weight = 0.0089, loss_D_s = 0.3800 loss_D_t = 0.6943
Iter =  11450/ 20000, loss_seg = 0.1792 loss_adv = 0.0008, loss_weight = 0.0089, loss_D_s = 0.3632 loss_D_t = 0.3075
Iter =  11460/ 20000, loss_seg = 0.0884 loss_adv = 0.0030, loss_weight = 0.0089, loss_D_s = 0.4530 loss_D_t = 0.3907
Iter =  11470/ 20000, loss_seg = 0.1242 loss_adv = 0.0006, loss_weight = 0.0089, loss_D_s = 0.1545 loss_D_t = 0.5505
Iter =  11480/ 20000, loss_seg = 0.1430 loss_adv = 0.0014, loss_weight = 0.0089, loss_D_s = 0.3322 loss_D_t = 0.3430
Iter =  11490/ 20000, loss_seg = 0.1266 loss_adv = 0.0006, loss_weight = 0.0089, loss_D_s = 0.2578 loss_D_t = 0.7455
Iter =  11500/ 20000, loss_seg = 0.1522 loss_adv = 0.0007, loss_weight = 0.0089, loss_D_s = 0.4749 loss_D_t = 0.4919
Iter =  11510/ 20000, loss_seg = 0.1728 loss_adv = 0.0010, loss_weight = 0.0088, loss_D_s = 0.1815 loss_D_t = 0.3700
Iter =  11520/ 20000, loss_seg = 0.1583 loss_adv = 0.0005, loss_weight = 0.0088, loss_D_s = 0.3150 loss_D_t = 0.4023
Iter =  11530/ 20000, loss_seg = 0.1515 loss_adv = 0.0007, loss_weight = 0.0088, loss_D_s = 1.0962 loss_D_t = 0.3869
Iter =  11540/ 20000, loss_seg = 0.1346 loss_adv = 0.0012, loss_weight = 0.0088, loss_D_s = 1.1971 loss_D_t = 0.7366
Iter =  11550/ 20000, loss_seg = 0.2963 loss_adv = 0.0009, loss_weight = 0.0088, loss_D_s = 0.9373 loss_D_t = 0.3804
Iter =  11560/ 20000, loss_seg = 0.2833 loss_adv = 0.0008, loss_weight = 0.0088, loss_D_s = 0.4784 loss_D_t = 0.4328
Iter =  11570/ 20000, loss_seg = 0.2351 loss_adv = 0.0008, loss_weight = 0.0088, loss_D_s = 0.2773 loss_D_t = 0.3996
Iter =  11580/ 20000, loss_seg = 0.1397 loss_adv = 0.0006, loss_weight = 0.0088, loss_D_s = 0.4032 loss_D_t = 0.3752
Iter =  11590/ 20000, loss_seg = 0.1845 loss_adv = 0.0005, loss_weight = 0.0088, loss_D_s = 0.2622 loss_D_t = 0.9207
Iter =  11600/ 20000, loss_seg = 0.2513 loss_adv = 0.0008, loss_weight = 0.0088, loss_D_s = 0.6201 loss_D_t = 0.2694
Iter =  11610/ 20000, loss_seg = 0.1438 loss_adv = 0.0010, loss_weight = 0.0087, loss_D_s = 0.2418 loss_D_t = 0.4174
Iter =  11620/ 20000, loss_seg = 0.1648 loss_adv = 0.0011, loss_weight = 0.0087, loss_D_s = 0.2605 loss_D_t = 0.2136
Iter =  11630/ 20000, loss_seg = 0.1293 loss_adv = 0.0006, loss_weight = 0.0087, loss_D_s = 0.1363 loss_D_t = 0.5105
Iter =  11640/ 20000, loss_seg = 0.1024 loss_adv = 0.0013, loss_weight = 0.0087, loss_D_s = 0.2674 loss_D_t = 0.4412
Iter =  11650/ 20000, loss_seg = 0.1184 loss_adv = 0.0014, loss_weight = 0.0087, loss_D_s = 0.4412 loss_D_t = 0.4526
Iter =  11660/ 20000, loss_seg = 0.1347 loss_adv = 0.0009, loss_weight = 0.0087, loss_D_s = 0.1868 loss_D_t = 0.3595
Iter =  11670/ 20000, loss_seg = 0.1275 loss_adv = 0.0005, loss_weight = 0.0087, loss_D_s = 0.4511 loss_D_t = 0.4257
Iter =  11680/ 20000, loss_seg = 0.0941 loss_adv = 0.0007, loss_weight = 0.0087, loss_D_s = 0.3984 loss_D_t = 0.5093
Iter =  11690/ 20000, loss_seg = 0.0711 loss_adv = 0.0013, loss_weight = 0.0087, loss_D_s = 0.2358 loss_D_t = 0.3026
Iter =  11700/ 20000, loss_seg = 0.0824 loss_adv = 0.0012, loss_weight = 0.0086, loss_D_s = 0.3585 loss_D_t = 0.2480
Iter =  11710/ 20000, loss_seg = 0.1686 loss_adv = 0.0006, loss_weight = 0.0086, loss_D_s = 0.3932 loss_D_t = 0.2733
Iter =  11720/ 20000, loss_seg = 0.2173 loss_adv = 0.0008, loss_weight = 0.0086, loss_D_s = 0.2579 loss_D_t = 0.3922
Iter =  11730/ 20000, loss_seg = 0.1704 loss_adv = 0.0012, loss_weight = 0.0086, loss_D_s = 0.5846 loss_D_t = 0.3852
Iter =  11740/ 20000, loss_seg = 0.1590 loss_adv = 0.0009, loss_weight = 0.0086, loss_D_s = 0.2732 loss_D_t = 0.4726
Iter =  11750/ 20000, loss_seg = 0.2038 loss_adv = 0.0010, loss_weight = 0.0086, loss_D_s = 0.4319 loss_D_t = 0.3622
Iter =  11760/ 20000, loss_seg = 0.2064 loss_adv = 0.0009, loss_weight = 0.0086, loss_D_s = 0.2267 loss_D_t = 0.3931
Iter =  11770/ 20000, loss_seg = 0.1216 loss_adv = 0.0015, loss_weight = 0.0086, loss_D_s = 0.3889 loss_D_t = 0.3353
Iter =  11780/ 20000, loss_seg = 0.1179 loss_adv = 0.0008, loss_weight = 0.0086, loss_D_s = 0.2896 loss_D_t = 0.3657
Iter =  11790/ 20000, loss_seg = 0.1715 loss_adv = 0.0006, loss_weight = 0.0086, loss_D_s = 0.3289 loss_D_t = 0.3818
Iter =  11800/ 20000, loss_seg = 0.1210 loss_adv = 0.0007, loss_weight = 0.0085, loss_D_s = 0.3853 loss_D_t = 0.5050
Iter =  11810/ 20000, loss_seg = 0.1353 loss_adv = 0.0005, loss_weight = 0.0085, loss_D_s = 0.3074 loss_D_t = 0.5332
Iter =  11820/ 20000, loss_seg = 0.2040 loss_adv = 0.0008, loss_weight = 0.0085, loss_D_s = 0.3872 loss_D_t = 0.4456
Iter =  11830/ 20000, loss_seg = 0.1445 loss_adv = 0.0005, loss_weight = 0.0085, loss_D_s = 0.2938 loss_D_t = 0.4978
Iter =  11840/ 20000, loss_seg = 0.1104 loss_adv = 0.0010, loss_weight = 0.0085, loss_D_s = 0.2286 loss_D_t = 0.5185
