DateTime: 31/01/2020 - 21:53:58
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =   1030/ 48000, loss_seg = 0.6647 loss_rot = 0.0453, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.4050 loss_D_t = 0.5457
Iter =   1040/ 48000, loss_seg = 0.5573 loss_rot = 0.0362, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.4240 loss_D_t = 0.4991
Iter =   1050/ 48000, loss_seg = 0.8698 loss_rot = 0.0298, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.6339 loss_D_t = 0.5940
Iter =   1060/ 48000, loss_seg = 1.8913 loss_rot = 0.0506, loss_adv = 0.0013, loss_weight = 0.0196, loss_D_s = 0.7623 loss_D_t = 0.4077
Iter =   1070/ 48000, loss_seg = 0.5876 loss_rot = 0.0390, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.3605 loss_D_t = 0.5535
Iter =   1080/ 48000, loss_seg = 0.4427 loss_rot = 0.0232, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.5159 loss_D_t = 0.5480
Iter =   1090/ 48000, loss_seg = 1.2734 loss_rot = 0.0819, loss_adv = 0.0007, loss_weight = 0.0196, loss_D_s = 0.6190 loss_D_t = 0.8242
Iter =   1100/ 48000, loss_seg = 0.7485 loss_rot = 0.0329, loss_adv = 0.0016, loss_weight = 0.0196, loss_D_s = 0.8613 loss_D_t = 0.3095
Iter =   1110/ 48000, loss_seg = 0.5384 loss_rot = 0.0341, loss_adv = 0.0009, loss_weight = 0.0196, loss_D_s = 0.4261 loss_D_t = 0.6427
Iter =   1120/ 48000, loss_seg = 0.7529 loss_rot = 0.0286, loss_adv = 0.0017, loss_weight = 0.0196, loss_D_s = 0.6529 loss_D_t = 0.2815
Iter =   1130/ 48000, loss_seg = 0.7767 loss_rot = 0.0343, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.8215 loss_D_t = 0.5765
Iter =   1140/ 48000, loss_seg = 0.9881 loss_rot = 0.0227, loss_adv = 0.0013, loss_weight = 0.0196, loss_D_s = 0.6451 loss_D_t = 0.4667
Iter =   1150/ 48000, loss_seg = 1.3372 loss_rot = 0.0272, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.6063 loss_D_t = 0.8465
Iter =   1160/ 48000, loss_seg = 0.6222 loss_rot = 0.0214, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.4165 loss_D_t = 0.5503
Iter =   1170/ 48000, loss_seg = 0.5325 loss_rot = 0.0232, loss_adv = 0.0009, loss_weight = 0.0196, loss_D_s = 0.4335 loss_D_t = 0.6156
Iter =   1180/ 48000, loss_seg = 0.9820 loss_rot = 0.0318, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.5346 loss_D_t = 0.5529
Iter =   1190/ 48000, loss_seg = 1.2990 loss_rot = 0.0249, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.4839 loss_D_t = 0.5561
Iter =   1200/ 48000, loss_seg = 1.3461 loss_rot = 0.0216, loss_adv = 0.0015, loss_weight = 0.0196, loss_D_s = 0.8001 loss_D_t = 0.3586
Iter =   1210/ 48000, loss_seg = 3.7737 loss_rot = 0.0455, loss_adv = 0.0012, loss_weight = 0.0196, loss_D_s = 0.7133 loss_D_t = 0.4294
Iter =   1220/ 48000, loss_seg = 0.9701 loss_rot = 0.0287, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.5924 loss_D_t = 0.6214
Iter =   1230/ 48000, loss_seg = 1.0035 loss_rot = 0.0211, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.3322 loss_D_t = 0.5238
Iter =   1240/ 48000, loss_seg = 0.6602 loss_rot = 0.0182, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.5173 loss_D_t = 0.6153
Iter =   1250/ 48000, loss_seg = 0.5027 loss_rot = 0.0200, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.3482 loss_D_t = 0.5044
Iter =   1260/ 48000, loss_seg = 0.6562 loss_rot = 0.0228, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.6225 loss_D_t = 0.6811
Iter =   1270/ 48000, loss_seg = 0.9590 loss_rot = 0.1046, loss_adv = 0.0009, loss_weight = 0.0196, loss_D_s = 0.5877 loss_D_t = 0.6598
Iter =   1280/ 48000, loss_seg = 0.8870 loss_rot = 0.0231, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.5559 loss_D_t = 0.5049
Iter =   1290/ 48000, loss_seg = 0.6015 loss_rot = 0.0230, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.6018 loss_D_t = 0.5238
Iter =   1300/ 48000, loss_seg = 0.4986 loss_rot = 0.0430, loss_adv = 0.0011, loss_weight = 0.0195, loss_D_s = 0.5370 loss_D_t = 0.4550
Iter =   1310/ 48000, loss_seg = 0.9706 loss_rot = 0.0280, loss_adv = 0.0012, loss_weight = 0.0195, loss_D_s = 0.6093 loss_D_t = 0.4210
Iter =   1320/ 48000, loss_seg = 0.3261 loss_rot = 0.0145, loss_adv = 0.0009, loss_weight = 0.0195, loss_D_s = 0.4303 loss_D_t = 0.7335
Iter =   1330/ 48000, loss_seg = 0.4053 loss_rot = 0.0202, loss_adv = 0.0010, loss_weight = 0.0195, loss_D_s = 0.5281 loss_D_t = 0.6402
Iter =   1340/ 48000, loss_seg = 0.4474 loss_rot = 0.0183, loss_adv = 0.0011, loss_weight = 0.0195, loss_D_s = 0.3276 loss_D_t = 0.5586
Iter =   1350/ 48000, loss_seg = 1.2305 loss_rot = 0.0157, loss_adv = 0.0013, loss_weight = 0.0195, loss_D_s = 0.5244 loss_D_t = 0.4406
Iter =   1360/ 48000, loss_seg = 0.3390 loss_rot = 0.0114, loss_adv = 0.0014, loss_weight = 0.0195, loss_D_s = 0.4062 loss_D_t = 0.4068
Iter =   1370/ 48000, loss_seg = 0.9549 loss_rot = 0.0124, loss_adv = 0.0011, loss_weight = 0.0195, loss_D_s = 0.6076 loss_D_t = 0.4958
Iter =   1380/ 48000, loss_seg = 0.6913 loss_rot = 0.0083, loss_adv = 0.0011, loss_weight = 0.0195, loss_D_s = 0.3344 loss_D_t = 0.4857
Iter =   1390/ 48000, loss_seg = 0.9040 loss_rot = 0.1484, loss_adv = 0.0013, loss_weight = 0.0195, loss_D_s = 0.6970 loss_D_t = 0.5306
Iter =   1400/ 48000, loss_seg = 0.8000 loss_rot = 0.0171, loss_adv = 0.0014, loss_weight = 0.0195, loss_D_s = 0.6463 loss_D_t = 0.4324
Iter =   1410/ 48000, loss_seg = 0.3261 loss_rot = 0.0154, loss_adv = 0.0008, loss_weight = 0.0195, loss_D_s = 0.3226 loss_D_t = 0.8926
Iter =   1420/ 48000, loss_seg = 0.3782 loss_rot = 0.0207, loss_adv = 0.0016, loss_weight = 0.0195, loss_D_s = 0.4297 loss_D_t = 0.3118
