time: 14/01/2020 - 17:55:18
###########   TRAINING STARTED  ############
Iter =    580/ 10000, loss_seg = 0.3949 loss_adv = 0.0082, loss_weight = 0.0192, loss_D_s = 0.6699 loss_D_t = 0.5387
Iter =    590/ 10000, loss_seg = 0.4080 loss_adv = 0.0024, loss_weight = 0.0192, loss_D_s = 0.8153 loss_D_t = 0.3033
Iter =    600/ 10000, loss_seg = 0.3733 loss_adv = 0.0065, loss_weight = 0.0192, loss_D_s = 1.0005 loss_D_t = 0.8560
Iter =    610/ 10000, loss_seg = 0.2806 loss_adv = 0.0062, loss_weight = 0.0192, loss_D_s = 1.0258 loss_D_t = 0.4641
Iter =    620/ 10000, loss_seg = 0.2934 loss_adv = 0.0059, loss_weight = 0.0191, loss_D_s = 0.9671 loss_D_t = 0.8236
Iter =    630/ 10000, loss_seg = 0.2631 loss_adv = 0.0061, loss_weight = 0.0191, loss_D_s = 0.7332 loss_D_t = 0.8142
Iter =    640/ 10000, loss_seg = 1.2092 loss_adv = 0.0154, loss_weight = 0.0191, loss_D_s = 1.3389 loss_D_t = 0.6065
Iter =    650/ 10000, loss_seg = 0.7153 loss_adv = 0.0070, loss_weight = 0.0191, loss_D_s = 1.3337 loss_D_t = 0.3797
Iter =    660/ 10000, loss_seg = 0.2450 loss_adv = 0.0046, loss_weight = 0.0191, loss_D_s = 1.0061 loss_D_t = 0.7875
Iter =    670/ 10000, loss_seg = 1.8916 loss_adv = 0.0074, loss_weight = 0.0191, loss_D_s = 1.7013 loss_D_t = 0.8161
Iter =    680/ 10000, loss_seg = 0.3261 loss_adv = 0.0035, loss_weight = 0.0191, loss_D_s = 0.7066 loss_D_t = 0.5191
Iter =    690/ 10000, loss_seg = 0.6093 loss_adv = 0.0025, loss_weight = 0.0191, loss_D_s = 0.9013 loss_D_t = 0.4950
Iter =    700/ 10000, loss_seg = 0.8122 loss_adv = 0.0077, loss_weight = 0.0190, loss_D_s = 0.6333 loss_D_t = 0.7090
Iter =    710/ 10000, loss_seg = 0.4821 loss_adv = 0.0077, loss_weight = 0.0190, loss_D_s = 0.8782 loss_D_t = 0.5852
Iter =    720/ 10000, loss_seg = 0.4274 loss_adv = 0.0041, loss_weight = 0.0190, loss_D_s = 0.7360 loss_D_t = 0.5914
Iter =    730/ 10000, loss_seg = 0.4322 loss_adv = 0.0071, loss_weight = 0.0190, loss_D_s = 0.6465 loss_D_t = 0.4689
Iter =    740/ 10000, loss_seg = 0.2980 loss_adv = 0.0046, loss_weight = 0.0190, loss_D_s = 0.8279 loss_D_t = 0.5011
Iter =    750/ 10000, loss_seg = 0.2697 loss_adv = 0.0049, loss_weight = 0.0190, loss_D_s = 0.8797 loss_D_t = 0.3313
Iter =    760/ 10000, loss_seg = 0.2105 loss_adv = 0.0033, loss_weight = 0.0189, loss_D_s = 0.7766 loss_D_t = 0.5268
Iter =    770/ 10000, loss_seg = 0.3119 loss_adv = 0.0054, loss_weight = 0.0189, loss_D_s = 0.9613 loss_D_t = 0.5010
Iter =    780/ 10000, loss_seg = 0.2832 loss_adv = 0.0086, loss_weight = 0.0189, loss_D_s = 1.2298 loss_D_t = 0.5278
Iter =    790/ 10000, loss_seg = 0.3272 loss_adv = 0.0229, loss_weight = 0.0189, loss_D_s = 0.9536 loss_D_t = 0.4797
Iter =    800/ 10000, loss_seg = 0.2675 loss_adv = 0.0139, loss_weight = 0.0189, loss_D_s = 1.2018 loss_D_t = 0.4382
Iter =    810/ 10000, loss_seg = 0.2344 loss_adv = 0.0073, loss_weight = 0.0188, loss_D_s = 1.2600 loss_D_t = 0.4437
Iter =    820/ 10000, loss_seg = 0.2742 loss_adv = 0.0113, loss_weight = 0.0188, loss_D_s = 0.8114 loss_D_t = 0.3999
Iter =    830/ 10000, loss_seg = 0.4104 loss_adv = 0.0047, loss_weight = 0.0188, loss_D_s = 0.8253 loss_D_t = 0.6601
Iter =    840/ 10000, loss_seg = 0.4216 loss_adv = 0.0028, loss_weight = 0.0188, loss_D_s = 0.9169 loss_D_t = 0.4119
Iter =    850/ 10000, loss_seg = 0.1817 loss_adv = 0.0028, loss_weight = 0.0188, loss_D_s = 0.7623 loss_D_t = 0.6192
Iter =    860/ 10000, loss_seg = 0.1698 loss_adv = 0.0028, loss_weight = 0.0187, loss_D_s = 0.6441 loss_D_t = 0.8746
Iter =    870/ 10000, loss_seg = 0.3384 loss_adv = 0.0024, loss_weight = 0.0187, loss_D_s = 0.5091 loss_D_t = 0.5743
Iter =    880/ 10000, loss_seg = 0.2585 loss_adv = 0.0037, loss_weight = 0.0187, loss_D_s = 0.8255 loss_D_t = 0.4321
Iter =    890/ 10000, loss_seg = 0.2787 loss_adv = 0.0037, loss_weight = 0.0187, loss_D_s = 0.5890 loss_D_t = 0.9403
Iter =    900/ 10000, loss_seg = 0.3187 loss_adv = 0.0033, loss_weight = 0.0187, loss_D_s = 0.6072 loss_D_t = 0.6903
Iter =    910/ 10000, loss_seg = 0.2275 loss_adv = 0.0054, loss_weight = 0.0187, loss_D_s = 0.5586 loss_D_t = 0.6050
Iter =    920/ 10000, loss_seg = 0.2759 loss_adv = 0.0069, loss_weight = 0.0186, loss_D_s = 0.8560 loss_D_t = 0.5513
Iter =    930/ 10000, loss_seg = 0.4101 loss_adv = 0.0089, loss_weight = 0.0186, loss_D_s = 0.7617 loss_D_t = 0.5804
Iter =    940/ 10000, loss_seg = 0.2343 loss_adv = 0.0043, loss_weight = 0.0186, loss_D_s = 0.6963 loss_D_t = 0.8035
Iter =    950/ 10000, loss_seg = 0.2032 loss_adv = 0.0046, loss_weight = 0.0186, loss_D_s = 1.0028 loss_D_t = 0.7912
Iter =    960/ 10000, loss_seg = 0.2439 loss_adv = 0.0031, loss_weight = 0.0186, loss_D_s = 0.9058 loss_D_t = 0.5675
Iter =    970/ 10000, loss_seg = 0.5467 loss_adv = 0.0063, loss_weight = 0.0185, loss_D_s = 1.1469 loss_D_t = 0.5813
Iter =    980/ 10000, loss_seg = 0.2004 loss_adv = 0.0054, loss_weight = 0.0185, loss_D_s = 0.5495 loss_D_t = 0.3841
Iter =    990/ 10000, loss_seg = 2.1057 loss_adv = 0.0036, loss_weight = 0.0185, loss_D_s = 1.6302 loss_D_t = 0.9494
Iter =   1000/ 10000, loss_seg = 0.1584 loss_adv = 0.0043, loss_weight = 0.0185, loss_D_s = 0.4805 loss_D_t = 0.4388
Iter =   1010/ 10000, loss_seg = 0.1395 loss_adv = 0.0031, loss_weight = 0.0185, loss_D_s = 0.6460 loss_D_t = 0.6889
Iter =   1020/ 10000, loss_seg = 0.2860 loss_adv = 0.0043, loss_weight = 0.0185, loss_D_s = 0.6292 loss_D_t = 0.7149
Iter =   1030/ 10000, loss_seg = 0.2027 loss_adv = 0.0069, loss_weight = 0.0184, loss_D_s = 0.4669 loss_D_t = 0.8623
Iter =   1040/ 10000, loss_seg = 0.4115 loss_adv = 0.0085, loss_weight = 0.0184, loss_D_s = 0.9971 loss_D_t = 0.4390
Iter =   1050/ 10000, loss_seg = 0.3509 loss_adv = 0.0054, loss_weight = 0.0184, loss_D_s = 0.7312 loss_D_t = 0.6722
Iter =   1060/ 10000, loss_seg = 0.6576 loss_adv = 0.0042, loss_weight = 0.0184, loss_D_s = 0.7661 loss_D_t = 0.3658
Iter =   1070/ 10000, loss_seg = 0.3181 loss_adv = 0.0024, loss_weight = 0.0184, loss_D_s = 0.7452 loss_D_t = 0.4772
Iter =   1080/ 10000, loss_seg = 0.2741 loss_adv = 0.0044, loss_weight = 0.0184, loss_D_s = 0.7112 loss_D_t = 0.4309
Iter =   1090/ 10000, loss_seg = 0.2554 loss_adv = 0.0028, loss_weight = 0.0183, loss_D_s = 0.5152 loss_D_t = 0.7568
Iter =   1100/ 10000, loss_seg = 0.3840 loss_adv = 0.0026, loss_weight = 0.0183, loss_D_s = 0.6970 loss_D_t = 0.4280
Iter =   1110/ 10000, loss_seg = 0.1813 loss_adv = 0.0084, loss_weight = 0.0183, loss_D_s = 0.7791 loss_D_t = 0.5431
Iter =   1120/ 10000, loss_seg = 0.3602 loss_adv = 0.0025, loss_weight = 0.0183, loss_D_s = 1.0930 loss_D_t = 0.3320
Iter =   1130/ 10000, loss_seg = 0.2670 loss_adv = 0.0029, loss_weight = 0.0183, loss_D_s = 0.7052 loss_D_t = 0.7177
Iter =   1140/ 10000, loss_seg = 0.3206 loss_adv = 0.0062, loss_weight = 0.0182, loss_D_s = 1.2370 loss_D_t = 0.4575
Iter =   1150/ 10000, loss_seg = 0.6583 loss_adv = 0.0035, loss_weight = 0.0182, loss_D_s = 1.1347 loss_D_t = 0.4367
Iter =   1160/ 10000, loss_seg = 0.2002 loss_adv = 0.0026, loss_weight = 0.0182, loss_D_s = 0.5277 loss_D_t = 0.5391
Iter =   1170/ 10000, loss_seg = 0.1662 loss_adv = 0.0050, loss_weight = 0.0182, loss_D_s = 0.7800 loss_D_t = 0.5538
Iter =   1180/ 10000, loss_seg = 0.2783 loss_adv = 0.0041, loss_weight = 0.0182, loss_D_s = 0.6699 loss_D_t = 0.4490
Iter =   1190/ 10000, loss_seg = 0.2412 loss_adv = 0.0053, loss_weight = 0.0181, loss_D_s = 0.5567 loss_D_t = 0.6170
Iter =   1200/ 10000, loss_seg = 0.3656 loss_adv = 0.0042, loss_weight = 0.0181, loss_D_s = 1.0430 loss_D_t = 0.6174
Iter =   1210/ 10000, loss_seg = 0.2278 loss_adv = 0.0031, loss_weight = 0.0181, loss_D_s = 0.5307 loss_D_t = 0.5825
Iter =   1220/ 10000, loss_seg = 0.2324 loss_adv = 0.0025, loss_weight = 0.0181, loss_D_s = 0.8960 loss_D_t = 0.5736
Iter =   1230/ 10000, loss_seg = 0.2321 loss_adv = 0.0018, loss_weight = 0.0181, loss_D_s = 0.4728 loss_D_t = 0.4494
Iter =   1240/ 10000, loss_seg = 0.2762 loss_adv = 0.0028, loss_weight = 0.0180, loss_D_s = 0.8320 loss_D_t = 0.2949
Iter =   1250/ 10000, loss_seg = 0.2937 loss_adv = 0.0022, loss_weight = 0.0180, loss_D_s = 0.5453 loss_D_t = 0.5389
Iter =   1260/ 10000, loss_seg = 0.2000 loss_adv = 0.0029, loss_weight = 0.0180, loss_D_s = 0.5468 loss_D_t = 0.5336
Iter =   1270/ 10000, loss_seg = 0.2527 loss_adv = 0.0022, loss_weight = 0.0180, loss_D_s = 0.8110 loss_D_t = 0.4209
Iter =   1280/ 10000, loss_seg = 0.2661 loss_adv = 0.0014, loss_weight = 0.0180, loss_D_s = 0.6217 loss_D_t = 0.8209
Iter =   1290/ 10000, loss_seg = 0.2386 loss_adv = 0.0017, loss_weight = 0.0179, loss_D_s = 0.7877 loss_D_t = 0.3896
Iter =   1300/ 10000, loss_seg = 0.4347 loss_adv = 0.0022, loss_weight = 0.0179, loss_D_s = 0.9185 loss_D_t = 0.6077
Iter =   1310/ 10000, loss_seg = 0.2701 loss_adv = 0.0026, loss_weight = 0.0179, loss_D_s = 0.4654 loss_D_t = 0.7180
Iter =   1320/ 10000, loss_seg = 0.2315 loss_adv = 0.0017, loss_weight = 0.0179, loss_D_s = 0.9079 loss_D_t = 0.5495
Iter =   1330/ 10000, loss_seg = 0.2861 loss_adv = 0.0039, loss_weight = 0.0179, loss_D_s = 0.7510 loss_D_t = 0.5728
Iter =   1340/ 10000, loss_seg = 0.4393 loss_adv = 0.0038, loss_weight = 0.0179, loss_D_s = 0.9548 loss_D_t = 0.5510
Iter =   1350/ 10000, loss_seg = 0.2098 loss_adv = 0.0034, loss_weight = 0.0178, loss_D_s = 0.3921 loss_D_t = 0.5161
Iter =   1360/ 10000, loss_seg = 0.1527 loss_adv = 0.0030, loss_weight = 0.0178, loss_D_s = 0.6286 loss_D_t = 0.5849
Iter =   1370/ 10000, loss_seg = 0.1478 loss_adv = 0.0024, loss_weight = 0.0178, loss_D_s = 0.4841 loss_D_t = 0.5059
Iter =   1380/ 10000, loss_seg = 0.3901 loss_adv = 0.0046, loss_weight = 0.0178, loss_D_s = 0.5819 loss_D_t = 0.5702
Iter =   1390/ 10000, loss_seg = 0.2586 loss_adv = 0.0015, loss_weight = 0.0178, loss_D_s = 0.5876 loss_D_t = 0.6333
Iter =   1400/ 10000, loss_seg = 0.1552 loss_adv = 0.0021, loss_weight = 0.0177, loss_D_s = 0.4568 loss_D_t = 0.5014
Iter =   1410/ 10000, loss_seg = 0.7815 loss_adv = 0.0019, loss_weight = 0.0177, loss_D_s = 1.0822 loss_D_t = 0.5467
Iter =   1420/ 10000, loss_seg = 0.1958 loss_adv = 0.0020, loss_weight = 0.0177, loss_D_s = 0.5191 loss_D_t = 0.6962
Iter =   1430/ 10000, loss_seg = 0.3471 loss_adv = 0.0035, loss_weight = 0.0177, loss_D_s = 0.6756 loss_D_t = 0.6042
Iter =   1440/ 10000, loss_seg = 0.3239 loss_adv = 0.0047, loss_weight = 0.0177, loss_D_s = 0.7529 loss_D_t = 0.4134
Iter =   1450/ 10000, loss_seg = 0.5754 loss_adv = 0.0015, loss_weight = 0.0176, loss_D_s = 0.7094 loss_D_t = 0.7041
Iter =   1460/ 10000, loss_seg = 0.3307 loss_adv = 0.0057, loss_weight = 0.0176, loss_D_s = 0.5743 loss_D_t = 0.4842
Iter =   1470/ 10000, loss_seg = 0.2413 loss_adv = 0.0022, loss_weight = 0.0176, loss_D_s = 0.4613 loss_D_t = 0.7636
Iter =   1480/ 10000, loss_seg = 0.2711 loss_adv = 0.0020, loss_weight = 0.0176, loss_D_s = 0.4144 loss_D_t = 0.5324
Iter =   1490/ 10000, loss_seg = 0.1974 loss_adv = 0.0029, loss_weight = 0.0176, loss_D_s = 0.6826 loss_D_t = 0.3862
