time: 16/01/2020 - 00:10:57

Iter =    570/ 50000, loss_seg = 0.5546 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.5637 loss_D_t = 0.5105
Iter =    580/ 50000, loss_seg = 1.1288 loss_adv = 0.0011, loss_weight = 0.0199, loss_D_s = 0.8373 loss_D_t = 0.5188
Iter =    590/ 50000, loss_seg = 1.1571 loss_adv = 0.0011, loss_weight = 0.0199, loss_D_s = 0.6283 loss_D_t = 0.4284
Iter =    600/ 50000, loss_seg = 0.4768 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.5374 loss_D_t = 0.4827
Iter =    610/ 50000, loss_seg = 0.5728 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.4017 loss_D_t = 0.5590
Iter =    620/ 50000, loss_seg = 0.9293 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.8574 loss_D_t = 0.4826
Iter =    630/ 50000, loss_seg = 1.2191 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.5230 loss_D_t = 0.5290
Iter =    640/ 50000, loss_seg = 0.7658 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.7626 loss_D_t = 0.4589
Iter =    650/ 50000, loss_seg = 0.5754 loss_adv = 0.0006, loss_weight = 0.0199, loss_D_s = 0.4931 loss_D_t = 0.9904
Iter =    660/ 50000, loss_seg = 5.1171 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.8137 loss_D_t = 0.5265
Iter =    670/ 50000, loss_seg = 0.7478 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.5795 loss_D_t = 0.4892
Iter =    680/ 50000, loss_seg = 1.1705 loss_adv = 0.0008, loss_weight = 0.0199, loss_D_s = 0.7931 loss_D_t = 0.6479
Iter =    690/ 50000, loss_seg = 0.4450 loss_adv = 0.0007, loss_weight = 0.0199, loss_D_s = 0.3294 loss_D_t = 0.7501
Iter =    700/ 50000, loss_seg = 0.5658 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 1.0219 loss_D_t = 0.5226
Iter =    710/ 50000, loss_seg = 0.8748 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.4026 loss_D_t = 0.5790
Iter =    720/ 50000, loss_seg = 0.5533 loss_adv = 0.0009, loss_weight = 0.0199, loss_D_s = 0.3886 loss_D_t = 0.5735
Iter =    730/ 50000, loss_seg = 0.8432 loss_adv = 0.0010, loss_weight = 0.0199, loss_D_s = 0.3958 loss_D_t = 0.5860
Iter =    740/ 50000, loss_seg = 0.8090 loss_adv = 0.0013, loss_weight = 0.0199, loss_D_s = 0.5499 loss_D_t = 0.4016
