DateTime: 05/02/2020 - 12:10:30
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  46020/ 48000, loss_seg = 0.2656 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.3093 loss_D_t = 0.6516
Iter =  46030/ 48000, loss_seg = 0.1271 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0009, loss_D_s = 0.2432 loss_D_t = 0.1761
Iter =  46040/ 48000, loss_seg = 0.1318 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1764 loss_D_t = 0.2307
Iter =  46050/ 48000, loss_seg = 0.1855 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1295 loss_D_t = 0.2819
Iter =  46060/ 48000, loss_seg = 0.1611 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.0943 loss_D_t = 0.5171
Iter =  46070/ 48000, loss_seg = 0.2735 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.2113 loss_D_t = 0.3596
Iter =  46080/ 48000, loss_seg = 0.1020 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0009, loss_D_s = 0.2902 loss_D_t = 0.1904
Iter =  46090/ 48000, loss_seg = 0.9540 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0009, loss_D_s = 0.0969 loss_D_t = 0.1249
Iter =  46100/ 48000, loss_seg = 0.1346 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1995 loss_D_t = 0.1774
Iter =  46110/ 48000, loss_seg = 0.0970 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0009, loss_D_s = 0.1750 loss_D_t = 0.3755
Iter =  46120/ 48000, loss_seg = 0.1615 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.3066 loss_D_t = 0.2939
Iter =  46130/ 48000, loss_seg = 0.0995 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2339 loss_D_t = 0.4603
Iter =  46140/ 48000, loss_seg = 0.1132 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2017 loss_D_t = 0.3984
Iter =  46150/ 48000, loss_seg = 0.1292 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.1747 loss_D_t = 0.4549
Iter =  46160/ 48000, loss_seg = 0.5303 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.1785 loss_D_t = 0.2460
Iter =  46170/ 48000, loss_seg = 0.1065 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2924 loss_D_t = 0.2320
Iter =  46180/ 48000, loss_seg = 0.2215 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2139 loss_D_t = 0.3895
Iter =  46190/ 48000, loss_seg = 0.1103 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.0952 loss_D_t = 0.2281
Iter =  46200/ 48000, loss_seg = 0.1118 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2068 loss_D_t = 0.1779
Iter =  46210/ 48000, loss_seg = 0.9212 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.1457 loss_D_t = 0.2938
Iter =  46220/ 48000, loss_seg = 0.0907 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.1320 loss_D_t = 0.3008
Iter =  46230/ 48000, loss_seg = 0.2283 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.0829 loss_D_t = 0.3716
Iter =  46240/ 48000, loss_seg = 0.1094 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.1079 loss_D_t = 0.1514
Iter =  46250/ 48000, loss_seg = 0.2005 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.1911 loss_D_t = 0.1611
Iter =  46260/ 48000, loss_seg = 0.1365 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2077 loss_D_t = 0.3475
Iter =  46270/ 48000, loss_seg = 0.0541 loss_rot = 0.0000, loss_adv = 0.0001, loss_weight = 0.0008, loss_D_s = 0.2701 loss_D_t = 0.3188
