DateTime: 27/01/2020 - 14:23:32
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    710/ 48000, loss_seg = 1.0544 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5244 loss_D_t = 0.5713
Iter =    720/ 48000, loss_seg = 0.9274 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5904 loss_D_t = 0.5741
Iter =    730/ 48000, loss_seg = 2.9690 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.6520 loss_D_t = 0.6152
Iter =    740/ 48000, loss_seg = 0.8660 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5583 loss_D_t = 0.5792
Iter =    750/ 48000, loss_seg = 1.1384 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.4193 loss_D_t = 0.7894
Iter =    760/ 48000, loss_seg = 0.7526 loss_rot = 0.0000, loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.4563 loss_D_t = 0.4476
Iter =    770/ 48000, loss_seg = 0.9783 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.4954 loss_D_t = 0.6954
Iter =    780/ 48000, loss_seg = 1.5315 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.5988 loss_D_t = 0.7488
Iter =    790/ 48000, loss_seg = 1.3925 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.6902 loss_D_t = 0.5213
Iter =    800/ 48000, loss_seg = 0.6778 loss_rot = 0.0000, loss_adv = 0.0006, loss_weight = 0.0197, loss_D_s = 0.4070 loss_D_t = 1.0412
Iter =    810/ 48000, loss_seg = 1.0038 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.5541 loss_D_t = 0.4806
Iter =    820/ 48000, loss_seg = 0.6889 loss_rot = 0.0000, loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.6078 loss_D_t = 0.4521
Iter =    830/ 48000, loss_seg = 1.5189 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.7977 loss_D_t = 0.5687
Iter =    840/ 48000, loss_seg = 0.9112 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.5699 loss_D_t = 0.8557
Iter =    850/ 48000, loss_seg = 0.8535 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.4846 loss_D_t = 0.7549
Iter =    860/ 48000, loss_seg = 1.3215 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.6927 loss_D_t = 0.4804
Iter =    870/ 48000, loss_seg = 0.6660 loss_rot = 0.0000, loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.5761 loss_D_t = 0.4628
Iter =    880/ 48000, loss_seg = 1.1178 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5688 loss_D_t = 0.6268
Iter =    890/ 48000, loss_seg = 1.2964 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.5159 loss_D_t = 0.7477
Iter =    900/ 48000, loss_seg = 0.8781 loss_rot = 0.0000, loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.6205 loss_D_t = 0.4075
Iter =    910/ 48000, loss_seg = 1.3735 loss_rot = 0.0000, loss_adv = 0.0012, loss_weight = 0.0197, loss_D_s = 0.6654 loss_D_t = 0.4421
Iter =    920/ 48000, loss_seg = 1.8053 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.6307 loss_D_t = 0.5238
Iter =    930/ 48000, loss_seg = 0.4474 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0196, loss_D_s = 0.4736 loss_D_t = 0.5802
Iter =    940/ 48000, loss_seg = 0.7924 loss_rot = 0.0000, loss_adv = 0.0012, loss_weight = 0.0196, loss_D_s = 0.6841 loss_D_t = 0.4054
Iter =    950/ 48000, loss_seg = 0.9302 loss_rot = 0.0000, loss_adv = 0.0011, loss_weight = 0.0196, loss_D_s = 0.6117 loss_D_t = 0.5412
Iter =    960/ 48000, loss_seg = 1.1298 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0196, loss_D_s = 0.5840 loss_D_t = 0.5372
