DateTime: 29/01/2020 - 23:45:09
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    490/ 48000, loss_seg = 0.4453 loss_rot = 3.1433, loss_adv = 0.0091, loss_weight = 0.0199, loss_D_s = 0.6979 loss_D_t = 0.5476
Iter =    500/ 48000, loss_seg = 1.7404 loss_rot = 2.8094, loss_adv = 0.0093, loss_weight = 0.0199, loss_D_s = 0.5798 loss_D_t = 0.5350
Iter =    510/ 48000, loss_seg = 0.7679 loss_rot = 2.7126, loss_adv = 0.0066, loss_weight = 0.0199, loss_D_s = 0.5778 loss_D_t = 0.8440
Iter =    520/ 48000, loss_seg = 0.7596 loss_rot = 2.7095, loss_adv = 0.0081, loss_weight = 0.0199, loss_D_s = 0.6240 loss_D_t = 0.6357
Iter =    530/ 48000, loss_seg = 0.5555 loss_rot = 2.8926, loss_adv = 0.0095, loss_weight = 0.0199, loss_D_s = 0.8369 loss_D_t = 0.5314
Iter =    540/ 48000, loss_seg = 0.5855 loss_rot = 4.2964, loss_adv = 0.0079, loss_weight = 0.0199, loss_D_s = 0.6964 loss_D_t = 0.6691
Iter =    550/ 48000, loss_seg = 0.5907 loss_rot = 1.9619, loss_adv = 0.0061, loss_weight = 0.0199, loss_D_s = 0.5235 loss_D_t = 0.8758
Iter =    560/ 48000, loss_seg = 0.3625 loss_rot = 3.0147, loss_adv = 0.0101, loss_weight = 0.0199, loss_D_s = 0.5863 loss_D_t = 0.4809
Iter =    570/ 48000, loss_seg = 1.2174 loss_rot = 2.8901, loss_adv = 0.0088, loss_weight = 0.0199, loss_D_s = 0.7789 loss_D_t = 0.6054
Iter =    580/ 48000, loss_seg = 0.5256 loss_rot = 2.5776, loss_adv = 0.0062, loss_weight = 0.0199, loss_D_s = 0.6494 loss_D_t = 0.9658
Iter =    590/ 48000, loss_seg = 0.4814 loss_rot = 2.3354, loss_adv = 0.0073, loss_weight = 0.0199, loss_D_s = 0.6453 loss_D_t = 0.7116
Iter =    600/ 48000, loss_seg = 0.4524 loss_rot = 2.4072, loss_adv = 0.0071, loss_weight = 0.0199, loss_D_s = 0.4602 loss_D_t = 0.8545
Iter =    610/ 48000, loss_seg = 0.4092 loss_rot = 2.6971, loss_adv = 0.0092, loss_weight = 0.0199, loss_D_s = 0.7358 loss_D_t = 0.6912
Iter =    620/ 48000, loss_seg = 0.4512 loss_rot = 2.2805, loss_adv = 0.0085, loss_weight = 0.0199, loss_D_s = 0.6437 loss_D_t = 0.5954
Iter =    630/ 48000, loss_seg = 0.7914 loss_rot = 2.4645, loss_adv = 0.0097, loss_weight = 0.0199, loss_D_s = 0.5532 loss_D_t = 0.5278
Iter =    640/ 48000, loss_seg = 0.3714 loss_rot = 2.0859, loss_adv = 0.0114, loss_weight = 0.0199, loss_D_s = 0.4960 loss_D_t = 0.5050
Iter =    650/ 48000, loss_seg = 0.8869 loss_rot = 1.6750, loss_adv = 0.0088, loss_weight = 0.0199, loss_D_s = 0.5002 loss_D_t = 0.6473
Iter =    660/ 48000, loss_seg = 0.3383 loss_rot = 2.3853, loss_adv = 0.0112, loss_weight = 0.0199, loss_D_s = 0.7379 loss_D_t = 0.4566
Iter =    670/ 48000, loss_seg = 0.8860 loss_rot = 1.8247, loss_adv = 0.0086, loss_weight = 0.0199, loss_D_s = 0.9693 loss_D_t = 0.5955
Iter =    680/ 48000, loss_seg = 0.9085 loss_rot = 1.8300, loss_adv = 0.0095, loss_weight = 0.0199, loss_D_s = 0.5012 loss_D_t = 0.6005
Iter =    690/ 48000, loss_seg = 0.4917 loss_rot = 2.2202, loss_adv = 0.0094, loss_weight = 0.0199, loss_D_s = 0.6102 loss_D_t = 0.5530
Iter =    700/ 48000, loss_seg = 1.3008 loss_rot = 2.6489, loss_adv = 0.0117, loss_weight = 0.0199, loss_D_s = 0.9008 loss_D_t = 0.4672
Iter =    710/ 48000, loss_seg = 0.7727 loss_rot = 1.5956, loss_adv = 0.0061, loss_weight = 0.0199, loss_D_s = 0.4771 loss_D_t = 0.8311
Iter =    720/ 48000, loss_seg = 0.9131 loss_rot = 2.4013, loss_adv = 0.0095, loss_weight = 0.0199, loss_D_s = 0.4559 loss_D_t = 0.5304
Iter =    730/ 48000, loss_seg = 0.4258 loss_rot = 1.9523, loss_adv = 0.0119, loss_weight = 0.0199, loss_D_s = 0.6541 loss_D_t = 0.3984
Iter =    740/ 48000, loss_seg = 1.1247 loss_rot = 1.2794, loss_adv = 0.0071, loss_weight = 0.0199, loss_D_s = 0.3301 loss_D_t = 0.7904
Iter =    750/ 48000, loss_seg = 0.4255 loss_rot = 1.7972, loss_adv = 0.0104, loss_weight = 0.0199, loss_D_s = 0.8454 loss_D_t = 0.5127
