DateTime: 05/02/2020 - 12:13:33
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =  20830/ 48000, loss_seg = 0.1186 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.4763 loss_D_t = 0.4038
Iter =  20840/ 48000, loss_seg = 0.3086 loss_rot = 0.0001, loss_adv = 0.0001, loss_weight = 0.0120, loss_D_s = 0.3436 loss_D_t = 0.4728
Iter =  20850/ 48000, loss_seg = 0.0990 loss_rot = 0.0001, loss_adv = 0.0004, loss_weight = 0.0120, loss_D_s = 0.1909 loss_D_t = 0.4018
Iter =  20860/ 48000, loss_seg = 0.2095 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.4942 loss_D_t = 0.4067
Iter =  20870/ 48000, loss_seg = 0.1267 loss_rot = 0.0001, loss_adv = 0.0003, loss_weight = 0.0120, loss_D_s = 0.4162 loss_D_t = 0.3566
Iter =  20880/ 48000, loss_seg = 0.1219 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.2581 loss_D_t = 0.7186
Iter =  20890/ 48000, loss_seg = 0.1390 loss_rot = 0.0003, loss_adv = 0.0003, loss_weight = 0.0120, loss_D_s = 0.4304 loss_D_t = 0.4266
Iter =  20900/ 48000, loss_seg = 0.1073 loss_rot = 0.0002, loss_adv = 0.0001, loss_weight = 0.0120, loss_D_s = 0.2300 loss_D_t = 0.8329
Iter =  20910/ 48000, loss_seg = 0.2351 loss_rot = 0.0003, loss_adv = 0.0003, loss_weight = 0.0120, loss_D_s = 0.4029 loss_D_t = 0.2956
Iter =  20920/ 48000, loss_seg = 0.1604 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.1594 loss_D_t = 0.4996
Iter =  20930/ 48000, loss_seg = 0.1704 loss_rot = 0.0000, loss_adv = 0.0003, loss_weight = 0.0120, loss_D_s = 0.4574 loss_D_t = 0.3566
Iter =  20940/ 48000, loss_seg = 0.1585 loss_rot = 0.0000, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.1780 loss_D_t = 0.4843
Iter =  20950/ 48000, loss_seg = 0.2430 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.2951 loss_D_t = 0.4207
Iter =  20960/ 48000, loss_seg = 0.2772 loss_rot = 0.0001, loss_adv = 0.0002, loss_weight = 0.0120, loss_D_s = 0.3184 loss_D_t = 0.4916
Iter =  20970/ 48000, loss_seg = 0.1649 loss_rot = 0.0001, loss_adv = 0.0004, loss_weight = 0.0120, loss_D_s = 0.3286 loss_D_t = 0.3363
Iter =  20980/ 48000, loss_seg = 0.1601 loss_rot = 0.0021, loss_adv = 0.0006, loss_weight = 0.0120, loss_D_s = 0.2116 loss_D_t = 0.4248
Iter =  20990/ 48000, loss_seg = 0.1751 loss_rot = 0.0001, loss_adv = 0.0004, loss_weight = 0.0119, loss_D_s = 0.2136 loss_D_t = 0.3873
Iter =  21000/ 48000, loss_seg = 0.0922 loss_rot = 0.0002, loss_adv = 0.0003, loss_weight = 0.0119, loss_D_s = 0.4485 loss_D_t = 0.4394
Iter =  21010/ 48000, loss_seg = 0.2065 loss_rot = 0.0001, loss_adv = 0.0003, loss_weight = 0.0119, loss_D_s = 0.4210 loss_D_t = 0.3923
