DateTime: 30/01/2020 - 15:12:13
Random seed: 1234
###########   TRAINING STARTED  ############
Iter =    680/ 48000, loss_seg = 1.7313 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.6092 loss_D_t = 0.6061
Iter =    690/ 48000, loss_seg = 0.7603 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.5155 loss_D_t = 0.5355
Iter =    700/ 48000, loss_seg = 1.9157 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.6332 loss_D_t = 0.5587
Iter =    710/ 48000, loss_seg = 1.0433 loss_rot = 0.0000, loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.6409 loss_D_t = 0.4752
Iter =    720/ 48000, loss_seg = 1.2381 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.7192 loss_D_t = 0.6095
Iter =    730/ 48000, loss_seg = 1.0498 loss_rot = 0.0000, loss_adv = 0.0011, loss_weight = 0.0197, loss_D_s = 0.3886 loss_D_t = 0.4758
Iter =    740/ 48000, loss_seg = 1.1197 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.6676 loss_D_t = 0.5454
Iter =    750/ 48000, loss_seg = 1.1369 loss_rot = 0.0000, loss_adv = 0.0008, loss_weight = 0.0197, loss_D_s = 0.4143 loss_D_t = 0.6872
Iter =    760/ 48000, loss_seg = 0.5202 loss_rot = 0.0000, loss_adv = 0.0009, loss_weight = 0.0197, loss_D_s = 0.4547 loss_D_t = 0.5829
Iter =    770/ 48000, loss_seg = 0.8711 loss_rot = 0.0000, loss_adv = 0.0010, loss_weight = 0.0197, loss_D_s = 0.4983 loss_D_t = 0.6049
Iter =    780/ 48000, loss_seg = 1.7524 loss_rot = 0.0000, loss_adv = 0.0007, loss_weight = 0.0197, loss_D_s = 0.6203 loss_D_t = 0.8103
